구분,내용
OHT 유지보수,"OHT를 유지보수하려면 뭘 해야 하나요?
주기적으로 레일 상태를 점검하고, OHT의 배터리 상태와 센서를 확인하세요. 그리고 필요하면 소프트웨어를 최신 버전으로 업데이트해야 해요. ""OHT도 건강 체크는 필수야!""라고 생각하면 돼요."
OHT 유지보수,"OHT의 배터리는 얼마나 자주 교체해야 하나요?
배터리는 사용 빈도에 따라 3~5년 주기로 교체하는 것이 일반적이며, 배터리 성능 저하 시 조기 교체해야 합니다."
OHT 유지보수,"OHT가 네트워크 연결을 잃으면 어떻게 되나요?
네트워크 연결이 끊어지면 OHT는 즉시 안전 정지 모드로 전환되며, 연결이 복구되면 다시 작업을 재개합니다."
OHT 유지보수,"OHT가 반복적으로 정지하는 경우 원인은 무엇인가요?
주요 원인은 배터리 저전력, 장애물 감지 오류, 센서 이상, 네트워크 연결 불량 등이 있으며, 오류 로그를 분석하여 원인을 파악하고 조치해야 합니다."
OHT 사용법,"OHT 시스템이 멈췄을 때 초기화는 어떻게 하나요?
시스템을 초기화하려면 OCS와 SA 시스템을 재부팅하고 OHT 상태를 초기화하세요. 예를 들어, ""다시 시작해서 처음부터 제대로 해보자!"" 같은 느낌이에요."
OHT-OCS 제조사,"OHT 기기 제조사는 어디인가요?
제조사는 SFA이며 연락처는 031-379-1793입니다"
MiR-100 소개,"MiR100이란 무엇인가요?
MiR100은 내부 운송 및 물류를 빠르게 자동화하는 안전하고 비용 효율적인 모바일 로봇이며, 최적화된 작업 절차로 근무자의 작업 부담을 덜어줌으로써 생산성을 높이고 비용을 줄여줍니다. 매우 유연한 자율주행 로봇으로 최대 200kg(440lbs)까지 자동으로 운송합니다. 적용 분야에 따라 빈, 랙, 리프트, 컨베이어, 협동 로봇과 같은 맞춤형 상부 모듈을 장착할 수 있습니다. 상부 모듈을 쉽게 변경할 수 있으므로 다양한 작업에 맞춰 로봇을 설정할 수 있습니다."
MiR-100 사용법,"MiR100 사용 전에 어떤 준비 작업이 필요한가요?
로봇을 평평한 작업 공간에 배치합니다. 전원을 연결하고 배터리를 충전합니다. (최대 충전 시간: 4.5시간) Wi-Fi 또는 이더넷 네트워크 연결을 설정합니다. 초기 소프트웨어 설정을 완료하고 작업 환경을 확인합니다."
MiR-100 사용법,"MiR100을 설치할 때 작업 환경에서 주의해야 할 점은 무엇인가요?
MiR100은 최대 5% 경사에서 100kg까지 화물을 운반할 수 있습니다. 로봇 경로에는 20mm 이상의 틈새나 장애물이 없어야 합니다. 주변 온도는 +5 ~ 40°C 범위 안에 있어야 합니다."
MiR-100 사용법,"MiR-100을 처음 사용할 때 어떻게 설정하나요?
MiR-100을 처음 사용하려면 전원을 켜고, 네트워크에 연결한 후, MiR Fleet 소프트웨어 또는 웹 인터페이스에서 기본 설정을 완료해야 합니다. 이후 지도를 생성하고, 이동 경로와 작업 명령을 설정하면 사용할 수 있습니다."
MiR-100 사용법,"MiR-100은 어떤 방식으로 주행하나요?
MiR-100은 LiDAR, 3D 카메라, 초음파 센서를 이용해 실내 환경을 스캔하며, 장애물을 회피하면서 최적 경로를 자동으로 탐색하여 이동합니다."
MiR-100 사용법,"MiR-100의 이동 경로는 어떻게 설정하나요?
MiR-100은 SLAM 기술을 사용하여 실내 지도를 자동으로 생성하고, 운영 소프트웨어에서 원하는 목적지를 지정하여 경로를 설정할 수 있습니다."
MiR-100 사용법,"특정 구역에서만 이동하도록 설정할 수 있나요?
네, 소프트웨어에서 이동 가능 구역을 설정하면 MiR-100이 해당 구역 내에서만 작동하도록 제한할 수 있습니다."
MiR-100 사용법,"MiR-100이 엘리베이터나 자동문을 통과할 수 있나요?
네, MiR-100은 Wi-Fi 및 IoT 통합 기능을 활용하여 엘리베이터 및 자동문과 연동하여 자동으로 출입이 가능합니다."
MiR-100 작업 설정,"MiR-100이 자동으로 화물을 적재 및 하역할 수 있나요?
MiR-100 자체적으로는 자동 적재 기능이 없지만, 팔레트 리프터, 컨베이어 모듈 등의 액세서리를 추가하여 자동 적재 및 하역이 가능합니다."
MiR-100 작업 설정,"작업 도중에 긴급 정지하려면 어떻게 하나요?
MiR-100은 물리적 비상 정지 버튼(E-Stop) 또는 소프트웨어를 통해 ""Pause"" 명령을 실행하여 즉시 정지할 수 있습니다."
MiR-100 작업 설정,"멈춘 작업을 다시 시작하려면 어떻게 해야 하나요?
멈춘 작업을 다시 시작하려면 ""Resume"" 명령을 실행하면 MiR-100이 마지막 정지 지점에서 작업을 재개합니다."
MiR-100 작업 설정,"이동 중인 MiR-100의 작업을 취소하려면 어떻게 하나요?
작업이 시작되기 전에는 ""Cancel"" 명령, 이동 중에는 ""Abort"" 명령을 실행하여 즉시 취소할 수 있습니다."
MiR-100 작업 설정,"여러 대의 MiR-100이 동시에 운행될 경우 충돌을 방지할 수 있나요?
MiR-100은 MiR Fleet 소프트웨어를 사용하여 여러 대의 로봇 간 이동 경로를 최적화하며, 충돌을 방지합니다."
MiR-100 작업 설정,"MiR100으로 화물을 운반하려면 어떻게 해야 하나요?
화물을 적재면(600 x 800mm)에 고정하고 무게가 100kg을 초과하지 않도록 합니다. MiRHook 사용 시 최대 300kg까지 견인 가능합니다. 로봇 소프트웨어에서 목적지와 경로를 설정합니다"
MiR-100 작업 설정,"MiR100의 이동 중 장애물 회피는 어떻게 이루어지나요?
MiR100은 SICK microScan3 안전 레이저 스캐너와 Intel RealSense™ 3D 카메라를 사용하여 360° 시야를 확보하며, 장애물을 감지하고 회피합니다."
MiR-100 작업 설정,"MiR100의 최대 이동 속도는 어떻게 되나요?
MiR100은 정방향으로 최대 1.5m/s(5.4km/h), 역방향으로 최대 0.3m/s(1km/h)로 이동할 수 있습니다."
MiR-100 유지보수,"MiR100의 배터리는 어떻게 관리하나요?
MiR100은 최대 10시간 또는 20km까지 사용 가능합니다. 사용 후 외부 충전기 또는 충전 스테이션을 이용하여 충전합니다."
MiR-100 유지보수,"MiR100의 센서와 모듈을 어떻게 유지보수 하나요?
SICK microScan3 센서와 Intel RealSense™ 3D 카메라를 정기적으로 점검합니다. 상부 모듈 높이는 최대 1,800mm를 넘지 않도록 설정합니다."
MiR-100 유지보수,"MiR100 소프트웨어는 어떻게 업데이트하나요?
제조사에서 제공하는 소프트웨어 업데이트를 정기적으로 설치하여 최신 기능과 보안을 유지합니다."
MiR-100 유지보수,"배터리 교체 주기는 어떻게 되나요?
배터리는 사용 환경에 따라 다르지만, 평균 2~3년마다 교체하는 것이 권장됩니다."
MiR-100 유지보수,"MiR-100의 센서 청소는 얼마나 자주 해야 하나요?
LiDAR 및 3D 카메라는 주 1~2회 먼지를 제거하여 깨끗한 상태를 유지해야 합니다."
MiR-100 유지보수,"네트워크 연결이 끊어지면 MiR-100은 어떻게 되나요?
네트워크가 끊어지면 MiR-100은 즉시 정지하며, 네트워크 복구 후 다시 작업을 재개합니다."
MiR-100 유지보수,"MiR-100의 휠 유지보수는 어떻게 하나요?
바퀴의 마모 상태를 월 1회 점검하고, 이상이 있을 경우 교체해야 합니다."
MiR-100 유지보수,"MiR-100이 지정된 경로를 벗어나면 어떻게 조치해야 하나요?
MiR-100이 경로를 이탈하면 SLAM 데이터와 지도를 확인하고, 필요 시 수동으로 경로를 재설정해야 합니다."
MiR-100 안전 주의 사항,"MiR100 사용 시 주의해야 할 점은 무엇인가요?
IP20 등급으로 물이나 먼지가 많은 환경에서 사용하지 않습니다. 로봇 작동 중에는 센서 범위 내에 방해물이 없도록 주의합니다. 로봇 운행 중에는 손을 대거나 화물을 추가로 적재하지 않습니다."
저상형 AGV 소개 ,"저상형 AGV란 무엇인가요?
저상형 AGV는 바닥과의 간격이 낮은 무인운반차로, 팔레트나 제품 적치랙 하부로 진입하여 물품을 리프팅한 후 정해진 위치로 이동 및 하역하는 시스템입니다. 물동량이 많은 창고나 공정에서 경제적으로 활용할 수 있습니다."
저상형 AGV 소개 ,"저상형 AGV의 특징은 무엇인가요?
적재차체와 구동차체 사이가 회전축으로 연결되어 있어, 적재차체가 고정된 상태에서도 구동차체만 원하는 각도로 회전하여 주행할 수 있습니다. 이를 통해 협소한 공간에서도 효율적으로 운용이 가능합니다."
저상형 AGV 제조사,"저상형 AGV의 제조사는 어디인가요?
저상형 AGV의 제조사는 ㈜씨에이시스템입니다. 씨에이시스템은 무인반송차(AGV), 컨베이어, 물류자동화 전문 제작업체로, 대기업과 협력하여 개발, 제작, 생산하고 있으며, 생산된 제품들은 대기업 및 해외로 납품되고 있습니다. 연락처는 031-432-2261 입니다. "
저상형 AGV 관련 문의,"저상형 AGV 관련 문의는 어디로 해야하나요?
저상형 AGV 관련 부서로 문의부탁드립니다. 관련 부서 연락처는 031-000-0000입니다."
저상형 AGV 경로 할당 ,"특정 AGV의 경로를 어떻게 할당하나요?
저상형 AGV의 경로는 SA 시스템이 최적의 이동 경로를 계산한 후, AGV에 명령을 전달하여 자동으로 할당됩니다. 일반적으로 자기유도(Magnetic Guide), QR코드, LiDAR 및 SLAM 기술 등을 활용하여 경로를 인식합니다. "
저상형 AGV 경로 변경,"AGV 경로에 장애물이 생기면 어떻게 대응하나요?
경로에 장애물이 생기면 AGV의 센서가 이를 감지하여 즉시 정지하고, SA 시스템이 새로운 최적 경로를 재계산하여 AGV에 전달합니다. 장애물이 제거되면 원래 경로를 따라 이동하거나 우회 경로를 통해 목적지로 이동합니다."
저상형 AGV 작업 중지,"AGV 작업 중지 명령은 언제 사용되나요?
AGV 작업 중지(Pause) 명령은 긴급 상황, 장애물 감지, 기기 오류 또는 작업 조정이 필요할 때 사용됩니다. 작업 중지 시 AGV는 즉시 멈추고, 상황이 해결되면 재개 명령을 통해 다시 이동할 수 있습니다."
저상형 AGV 이벤트 처리 ,"AGV 작업 도중 발생하는 이벤트는 어떻게 관리되나요?
AGV 작업 도중 발생하는 이벤트는 SA 시스템이 실시간으로 감지하고 로그를 기록하며, 이를 분석하여 작업 우선순위 조정, 경로 변경 또는 작업 중지 여부를 결정합니다. 또한, 장애나 오류 발생 시 즉각적인 대응을 위해 관리자에게 알람을 전송하고, 필요한 경우 자동 복구 절차를 수행합니다."
저상형 AGV 사용법,"저상형 AGV의 중지된 작업을 다시 시작하려면 어떻게 하나요?
중지된 작업을 다시 시작하려면 작업 재개(Resume) 명령을 실행하면 됩니다. SA 시스템이 AGV의 마지막 상태를 확인한 후, 정상적으로 작동 가능하면 중단된 지점부터 작업을 이어서 수행합니다."
저상형 AGV 사용법,"저상형 AGV를 처음 사용할 때는 어떻게 시작해야 하나요?
저상형 AGV를 처음 사용할 때는 전원을 켜고, 시스템 상태를 점검한 후, SA 시스템에서 경로 및 작업 명령을 설정해야 합니다. 모든 준비가 완료되면 AGV는 지정된 경로를 따라 자동으로 작업을 수행합니다."
저상형 AGV 사용법,"저상형 AGV에 무엇을 적재하나요?
저상형 AGV는 팔레트, 적치랙, 컨테이너, 물류 박스 등 다양한 형태의 화물을 적재할 수 있습니다. 특히, 저상형 구조를 활용하여 하부로 진입 후 리프팅하여 화물을 운반하는 방식으로 물류 자동화를 효율적으로 지원합니다."
저상형 AGV 사용법,"저상형 AGV에 화물을 어떻게 적재하나요?
저상형 AGV는 팔레트나 적치랙 하부로 진입한 후, 리프팅 기능을 이용하여 화물을 들어 올려 적재합니다. 이 과정은 자동화된 센서와 정밀 제어 시스템을 통해 이루어지며, 적재 후 안전하게 고정된 상태로 목적지까지 이동합니다."
저상형 AGV 사용법,"저상형 AGV에 화물을 어떻게 하역하나요?
하역을 위해 저상형 AGV는 지정된 하역 위치에 도착한 후, 리프팅 장치를 이용해 화물을 안전하게 내려놓고 후진하여 빠져나가는 방식으로 동작합니다. 하역 과정은 자동화 시스템에 의해 제어되며, 필요 시 외부 신호나 명령을 통해 조정할 수도 있습니다."
저상형 AGV 사용법,"저상형 AGV를 이동 중에 멈추게 하려면 어떻게 해야 하나요?
이동 중에 멈추려면 작업 중지(Pause) 명령을 실행하면 AGV가 즉시 정지합니다. 또한, 장애물 감지나 비상 상황 발생 시 AGV는 자동으로 정지하며, 필요하면 수동으로 원격 제어하여 멈출 수도 있습니다."
저상형 AGV 사용법,"저상형 AGV 작업 명령을 취소하려면 어떻게 해야 하나요?
작업 도중 명령을 취소하려면 작업 시작 전에는 ""Cancel"" 명령, 작업이 진행 중일 때는 ""Abort"" 명령을 실행하면 됩니다. ""Cancel""은 실행 전 작업을 중단하며, ""Abort""는 진행 중인 작업을 즉시 멈추고 초기 상태로 복귀하도록 AGV를 제어합니다."
저상형 AGV 사용법,"저상형 AGV 시스템이 멈췄을 때 초기화는 어떻게 하나요?
시스템이 멈췄을 때 초기화하려면 OCS(운영 제어 시스템)와 SA(경로 제어 시스템)를 재부팅하고, AGV의 상태를 초기화해야 합니다. 이후 AGV의 경로 및 작업 명령을 다시 설정하여 정상적으로 운행할 수 있도록 복구합니다."
저상형 AGV 사용법,"저상형 AGV의 작동 오류 발생 시 어떻게 복구되나요?
작동 오류가 발생하면 AGV의 센서가 오류를 감지하고 OCS(운영 제어 시스템)에 알람을 전송합니다. OCS는 오류 유형을 분석하여 자동 복구를 시도하거나, 필요 시 관리자가 수동으로 복구 명령을 실행할 수 있도록 안내합니다. 오류 해결 후 AGV는 정상 경로로 복귀하여 작업을 이어갑니다."
저상형 AGV 사용법,"저상형 AGV의 속도는 어떻게 조절할 수 있나요?
AGV의 속도는 SA 시스템에서 설정된 경로 및 작업 환경에 따라 자동으로 조절됩니다. 특정 구간에서 속도를 높이거나 낮춰야 할 경우, OCS(운영 제어 시스템)에서 설정을 변경할 수 있습니다."
저상형 AGV 사용법,"저상형 AGV가 지정된 위치에 정확히 정차하지 않으면 어떻게 해야 하나요?
AGV가 정확한 위치에 정차하지 않으면 위치 센서, 휠 정렬 상태, 유도 시스템(QR 코드, LiDAR 등)을 점검해야 합니다. 필요 시 보정 작업을 수행하고, 지속적인 문제 발생 시 기술 지원을 요청해야 합니다."
저상형 AGV 사용법,"배터리가 부족하면 AGV는 어떻게 하나요?
배터리가 부족하면 AGV는 자동으로 충전 스테이션으로 이동하여 충전을 진행합니다. 충전 방식은 유선 충전 또는 무선 충전 방식이 있으며, 일정 수준까지 충전이 완료되면 작업을 재개합니다."
저상형 AGV 사용법,"여러 대의 AGV가 동시에 운행될 때 충돌을 방지하는 방법은 무엇인가요?
SA 시스템이 AGV 간의 통신을 통해 주행 우선순위를 조정하며, 충돌 방지를 위한 회피 경로를 자동으로 계산합니다. 또한, 속도 조절과 정차 지점 설정을 통해 AGV 간의 간섭을 최소화합니다."
저상형 AGV 사용법,"AGV가 네트워크 연결을 잃으면 어떻게 되나요?
네트워크 연결이 끊어지면 AGV는 즉시 안전 정지 모드로 전환되며, 연결이 복구되면 다시 작동을 시작합니다. 장기간 네트워크 문제가 지속되면 수동 조작 또는 유지보수 점검이 필요합니다."
저상형 AGV 사용법,"AGV가 지정된 경로를 이탈하는 경우 어떻게 조치해야 하나요?
AGV가 경로를 이탈하면 SA 시스템이 이를 감지하여 경고 메시지를 전송하며, AGV는 자동으로 정지합니다. 이후 경로를 재설정하거나, 수동으로 제어하여 정상 경로로 복귀시켜야 합니다."
저상형 AGV 사용법,"AGV를 특정 구역에서만 작동하도록 설정할 수 있나요?
네, OCS 시스템을 통해 작업 구역을 설정하여 AGV가 특정 구역 내에서만 이동하도록 제한할 수 있습니다. 이를 통해 위험 지역 접근을 방지하고, 효율적인 물류 이동을 계획할 수 있습니다."
저상형 AGV 유지보수,"저상형 AGV를 유지보수하려면 무엇을 해야 하나요?
저상형 AGV의 유지보수를 위해 정기적으로 배터리 상태, 센서 및 네트워크 연결을 점검해야 합니다. 또한, 바퀴 및 리프팅 장치의 마모 상태를 검사하고, 소프트웨어를 최신 버전으로 업데이트하여 최적의 성능을 유지해야 합니다."
저상형 AGV 유지보수,"AGV 배터리는 얼마나 자주 교체해야 하나요?
AGV 배터리는 사용 빈도와 충·방전 횟수에 따라 평균 3~5년마다 교체하는 것이 일반적입니다. 하지만, 배터리 성능이 저하되면 교체 주기보다 빨리 교체하는 것이 좋습니다."
저상형 AGV 유지보수,"AGV의 배터리 상태를 확인하는 방법은?
SA 시스템 또는 OCS 모니터링 화면에서 실시간 배터리 상태(잔량, 충전 횟수, 성능 저하 여부 등)를 확인할 수 있습니다. 또한, 일부 모델은 AGV 본체에서 직접 배터리 잔량을 표시합니다."
저상형 AGV 유지보수,"AGV의 바퀴는 얼마나 자주 점검해야 하나요?
AGV 바퀴는 마모 및 정렬 상태를 매월 점검하고, 마모도가 50% 이상이면 교체하는 것이 좋습니다. 특히, 바퀴 정렬이 맞지 않으면 경로 이탈 및 정지 문제가 발생할 수 있습니다."
저상형 AGV 유지보수,"AGV의 센서는 얼마나 자주 청소해야 하나요?
센서는 주 1회 이상 먼지 및 오염을 제거하여 정상적인 감지 기능을 유지해야 합니다. 특히, LiDAR 및 카메라 기반 센서는 오염이 심하면 장애물을 잘못 인식할 수 있으므로 주기적으로 청소해야 합니다."
저상형 AGV 유지보수,"AGV의 소프트웨어 업데이트는 어떻게 하나요?
업데이트는 SA 시스템 또는 OCS를 통해 원격으로 수행되며, 제조사에서 제공하는 최신 펌웨어를 적용해야 합니다. 업데이트 전에는 시스템 백업을 수행하여 데이터 손실을 방지하는 것이 중요합니다."
저상형 AGV 유지보수,"AGV의 네트워크 연결이 불안정할 때 어떻게 해결하나요?
우선 네트워크 신호 강도를 확인하고, 문제가 지속되면 AGV와 SA 시스템 간의 통신 로그를 점검해야 합니다. 필요하면 네트워크 장비(라우터, AP 등)를 재부팅하여 연결 상태를 복구합니다."
저상형 AGV 유지보수,"AGV의 경로 추적 기능이 정상적으로 작동하지 않으면 어떻게 하나요?
AGV가 경로를 이탈하거나 올바르게 추적하지 못하면 유도 방식(마그네틱 테이프, QR 코드, LiDAR 등)을 점검해야 합니다. 마그네틱 테이프가 손상되었거나 QR 코드가 훼손되었을 경우 즉시 교체해야 합니다."
저상형 AGV 유지보수,"AGV가 반복적으로 정지하는 경우 원인은 무엇인가요?
AGV가 자주 멈추는 원인은 배터리 저전력, 장애물 감지 오류, 센서 이상, 네트워크 연결 불량 등이 있을 수 있습니다. 오류 로그를 분석하여 원인을 파악한 후, 필요한 조치를 취해야 합니다."
저상형 AGV 유지보수,"AGV의 주요 부품(배터리, 바퀴, 센서 등)은 어떻게 교체하나요?
대부분의 부품은 모듈화되어 있어, 일정한 주기에 맞춰 손쉽게 교체 가능합니다. 교체가 필요한 경우, 제조사 매뉴얼을 참고하거나 기술 지원을 요청하여 안전하게 교체하는 것이 중요합니다."
저상형 AGV 유지보수,"AGV의 긴급 유지보수가 필요할 경우 어디에 문의해야 하나요?
긴급 유지보수가 필요하면 제조사의 고객 지원 센터 또는 유지보수 담당 부서에 즉시 문의해야 합니다. AGV 모델에 따라 담당 부서가 다를 수 있으므로, 사용 설명서에 기재된 연락처를 확인하는 것이 좋습니다."
